nama_sekolah ,kecamatan,kota_adminstrasi,jumlah_siswa,jumlah_guru,latitude,longitude
SDN Kelapa Gading Barat 01,Kelapa Gading,Jakarta Utara,587,25,-6.157819,106.89357
SDN Pegangsaan Dua 05 Pg.,Kelapa Gading,Jakarta Utara,273,14,-6.171498,106.910652
SDN Pegangsaan Dua 07 Pg.,Kelapa Gading,Jakarta Utara,236,12,-6.175113,106.911453
SDN Kelapa Gading Tim. 03,Kelapa Gading,Jakarta Utara,591,31,-6.175944,106.905693
SDN Kelapa Gading Tim. 05 Pt.,Kelapa Gading,Jakarta Utara,148,12,-6.175963,106.905632
SDN Pegangsaan Dua 09 Pt.,Kelapa Gading,Jakarta Utara,146,8,-6.176209,106.910866
SDN Pegangsaan Dua 06 Pg.,Kelapa Gading,Jakarta Utara,498,23,-6.176662,106.912071
SDN Kelapa Gading Tim. 01,Kelapa Gading,Jakarta Utara,419,24,-6.178877,106.905228
SDN Pegangsaan Dua 03,Kelapa Gading,Jakarta Utara,394,18,-6.181092,106.914101
SDN Kebon Kosong 02 Pg.,Kemayoran,Jakarta Pusat,425,20,-6.15396,106.856407
SDN Kebon Kosong 03 Pg.,Kemayoran,Jakarta Pusat,327,14,-6.154088,106.857704
SDN Kebon Kosong 07 Pg.,Kemayoran,Jakarta Pusat,468,17,-6.154356,106.857941
SDN Kebon Kosong 16 Pg.,Kemayoran,Jakarta Pusat,288,13,-6.154758,106.858543
SDN Kebon Kosong 05 Pg.,Kemayoran,Jakarta Pusat,338,13,-6.155574,106.84304
SDN Kebon Kosong 01 Pg.,Kemayoran,Jakarta Pusat,345,15,-6.156518,106.8563
SDN Serdang 07,Kemayoran,Jakarta Pusat,664,26,-6.1566,106.862602
SDN Serdang 11 Pg.,Kemayoran,Jakarta Pusat,388,16,-6.1571,106.867798
SDN Serdang 13 Pg.,Kemayoran,Jakarta Pusat,363,13,-6.1572,106.866096
SDN Sumur Batu 10 Pg.,Kemayoran,Jakarta Pusat,309,14,-6.158297,106.867157
SDN Sumur Batu 08 Pg.,Kemayoran,Jakarta Pusat,331,19,-6.158329,106.86718
SDN Sumur Batu 03 Pg.,Kemayoran,Jakarta Pusat,285,13,-6.15923,106.867081
SDN Sumur Batu 04 Pg.,Kemayoran,Jakarta Pusat,243,11,-6.15923,106.867081
SDN Sumur Batu 01 Pg.,Kemayoran,Jakarta Pusat,325,14,-6.1598,106.866997
SDN Kebon Kosong 09 Pg.,Kemayoran,Jakarta Pusat,435,19,-6.160539,106.854065
SDN Utan Panjang 01 Pg.,Kemayoran,Jakarta Pusat,487,17,-6.160545,106.855721
SDN Kemayoran 11 Pg.,Kemayoran,Jakarta Pusat,262,15,-6.160661,106.853996
SDN Utan Panjang 03 Pg.,Kemayoran,Jakarta Pusat,428,18,-6.160762,106.853386
SDN Serdang 05 Pg.,Kemayoran,Jakarta Pusat,385,19,-6.1612,106.860497
SDN Kemayoran 01 Pg.,Kemayoran,Jakarta Pusat,204,9,-6.161248,106.840828
SDN Sumur Batu 14 Pg.,Kemayoran,Jakarta Pusat,350,14,-6.161515,106.868759
SDN Sumur Batu 15 Pt.,Kemayoran,Jakarta Pusat,169,9,-6.161515,106.868759
SDN Kebon Kosong 18 Pg.,Kemayoran,Jakarta Pusat,190,12,-6.16206,106.850746
SDN Sumur Batu 12 Pg.,Kemayoran,Jakarta Pusat,352,15,-6.162316,106.868736
SDN Kebon Kosong 15 Pg.,Kemayoran,Jakarta Pusat,354,19,-6.162363,106.851143
SDN Kemayoran 13 Pg.,Kemayoran,Jakarta Pusat,144,11,-6.162657,106.847511
SDN Kebon Kosong 14 Pg.,Kemayoran,Jakarta Pusat,254,14,-6.1627,106.850601
SDN Kebon Kosong 13 Pg.,Kemayoran,Jakarta Pusat,277,13,-6.163041,106.850418
SDN Kemayoran 16 Pt.,Kemayoran,Jakarta Pusat,134,7,-6.163082,106.843323
SDN Kemayoran 02 Pt.,Kemayoran,Jakarta Pusat,163,13,-6.163168,106.843369
SDN Kemayoran 03 Pg.,Kemayoran,Jakarta Pusat,216,11,-6.163178,106.843323
SDN Kemayoran 14 Pt.,Kemayoran,Jakarta Pusat,169,10,-6.1632,106.847504
SDN Kebon Kosong 17 Pg.,Kemayoran,Jakarta Pusat,298,12,-6.163358,106.850746
SDN Kebon Kosong 19 Pg.,Kemayoran,Jakarta Pusat,320,16,-6.163358,106.850746
SDN Serdang 03 Pg.,Kemayoran,Jakarta Pusat,341,18,-6.163371,106.860481
SDN Kemayoran 09 Pg.,Kemayoran,Jakarta Pusat,340,18,-6.163676,106.847076
SDN Cempaka Baru 09 Pg.,Kemayoran,Jakarta Pusat,344,19,-6.1648,106.8582
SDN Cempaka Baru 14 Pg.,Kemayoran,Jakarta Pusat,219,13,-6.164981,106.863541
SDN Cempaka Baru 11 Pg.,Kemayoran,Jakarta Pusat,311,13,-6.16511,106.862961
SDN Kemayoran 15,Kemayoran,Jakarta Pusat,477,19,-6.16519,106.842972
SDN Cempaka Baru 07 Pg.,Kemayoran,Jakarta Pusat,273,13,-6.1653,106.858101
SDN Kemayoran 07 Pg.,Kemayoran,Jakarta Pusat,208,7,-6.166,106.844902
SDN Gunung Sahari Selatan 01 Pg.,Kemayoran,Jakarta Pusat,434,27,-6.1661,106.839203
SDN Sumur Batu 06 Pg.,Kemayoran,Jakarta Pusat,392,23,-6.166502,106.866371
SDN Cempaka Baru 01,Kemayoran,Jakarta Pusat,693,29,-6.1669,106.863098
SDN Cempaka Baru 05 Pg.,Kemayoran,Jakarta Pusat,430,21,-6.167008,106.866119
SDN Harapan Mulia 02 Pt.,Kemayoran,Jakarta Pusat,318,14,-6.167215,106.853607
SDN Harapan Mulia 01 Pg.,Kemayoran,Jakarta Pusat,410,19,-6.167215,106.855659
SDN Cempaka Baru 03 Pg.,Kemayoran,Jakarta Pusat,398,18,-6.169199,106.865143
SDN Cempaka Baru 12 Pg.,Kemayoran,Jakarta Pusat,187,10,-6.171731,106.862053
SDN Harapan Mulia 03 Pg.,Kemayoran,Jakarta Pusat,376,16,-6.173105,106.855888
SDN Harapan Mulia 04 Pt.,Kemayoran,Jakarta Pusat,384,14,-6.173145,106.853828
SDN Cempaka Baru 13 Pg.,Kemayoran,Jakarta Pusat,259,14,-6.2115,106.8452
SDN Serdang 01 Pg.,Kemayoran,Jakarta Pusat,333,16,-6.2115,106.8452
SDN Kembangan Utara 04 Pg.,Kembangan,Jakarta Barat,664,27,-6.1049,106.442802
SDN Kembangan Utara 10 Pg.,Kembangan,Jakarta Barat,376,17,-6.15576,106.746498
SDN Kembangan Utara 09 Pg.,Kembangan,Jakarta Barat,379,19,-6.159011,106.748405
SDN Kembangan Utara 12 Pt.,Kembangan,Jakarta Barat,395,15,-6.159011,106.748405
SDN Kembangan Utara 11 Pt.,Kembangan,Jakarta Barat,349,17,-6.159273,106.748489
SDN Kembangan Utara 05 Pg.,Kembangan,Jakarta Barat,404,13,-6.169057,106.75013
SDN Kembangan Utara 06 Pg.,Kembangan,Jakarta Barat,397,18,-6.169057,106.75013
SDN Kembangan Utara 07 Pt.,Kembangan,Jakarta Barat,307,14,-6.169057,106.75013
SDN Kembangan Utara 08 Pt.,Kembangan,Jakarta Barat,311,15,-6.169868,106.747612
SDN Kembangan Utara 01 Pg.,Kembangan,Jakarta Barat,635,26,-6.183141,106.752167
SDN Kembangan Selatan 03 Pg.,Kembangan,Jakarta Barat,530,21,-6.183239,106.739754
SDN Kembangan Selatan 01 Pg.,Kembangan,Jakarta Barat,697,34,-6.184716,106.728798
SDN Meruya Utara 03 Pg.,Kembangan,Jakarta Barat,301,15,-6.191738,106.755592
SDN Meruya Utara 08 Pg.,Kembangan,Jakarta Barat,276,13,-6.192584,106.741402
SDN Meruya Utara 04 Pt.,Kembangan,Jakarta Barat,249,7,-6.194491,106.756668
SDN Meruya Utara 07 Pg.,Kembangan,Jakarta Barat,230,13,-6.194491,106.756668
SDN Meruya Utara 12 Pg.,Kembangan,Jakarta Barat,375,16,-6.195831,106.751984
SDN Meruya Utara 13 Pg.,Kembangan,Jakarta Barat,339,15,-6.19603,106.751556
SDN Meruya Utara 15 Pt.,Kembangan,Jakarta Barat,301,10,-6.19603,106.751556
SDN Meruya Utara 09 Pg.,Kembangan,Jakarta Barat,267,13,-6.196045,106.758888
SDN Meruya Utara 10 Pg.,Kembangan,Jakarta Barat,261,11,-6.19621,106.758835
SDN Meruya Utara 05 Pg.,Kembangan,Jakarta Barat,720,33,-6.197085,106.738205
SDN Meruya Utara 02 Pg.,Kembangan,Jakarta Barat,574,19,-6.199133,106.74144
SDN Srengseng 03 Pg.,Kembangan,Jakarta Barat,292,13,-6.202671,106.756248
SDN Srengseng 05 Pg.,Kembangan,Jakarta Barat,302,15,-6.202805,106.756706
SDN Srengseng 06 Pg.,Kembangan,Jakarta Barat,340,16,-6.202805,106.756706
SDN Srengseng 08 Pt.,Kembangan,Jakarta Barat,269,13,-6.202805,106.756706
SDN Meruya Utara 11 Pt.,Kembangan,Jakarta Barat,260,16,-6.20428,106.738029
SDN Meruya Selatan 01 Pg.,Kembangan,Jakarta Barat,649,29,-6.210932,106.737305
SDN Meruya Selatan 04 Pg.,Kembangan,Jakarta Barat,638,34,-6.211218,106.725937
SDN Meruya Selatan 06 Pg.,Kembangan,Jakarta Barat,348,19,-6.213109,106.74128
SDN Joglo 06 Pg.,Kembangan,Jakarta Barat,328,13,-6.213862,106.755325
SDN Srengseng 01 Pg.,Kembangan,Jakarta Barat,574,24,-6.214897,106.759682
SDN Srengseng 04 Pg.,Kembangan,Jakarta Barat,419,11,-6.214897,106.759682
SDN Meruya Selatan 03 Pg.,Kembangan,Jakarta Barat,513,24,-6.216378,106.727234
SDN Joglo 08 Pg.,Kembangan,Jakarta Barat,302,12,-6.216728,106.724419
SDN Joglo 04 Pt.,Kembangan,Jakarta Barat,303,12,-6.21763,106.732857
SDN Joglo 09 Pg.,Kembangan,Jakarta Barat,661,33,-6.218417,106.719429
SDN Joglo 02 Pt.,Kembangan,Jakarta Barat,311,15,-6.218527,106.734131
SDN Joglo 10 Pg.,Kembangan,Jakarta Barat,383,21,-6.218782,106.727798
SDN Joglo 05 Pg.,Kembangan,Jakarta Barat,406,19,-6.2212,106.7314
SDN Joglo 01 Pg.,Kembangan,Jakarta Barat,390,19,-6.221415,106.731674
SDN Joglo 07 Pt.,Kembangan,Jakarta Barat,348,14,-6.221521,106.732094
SDN Joglo 03 Pg.,Kembangan,Jakarta Barat,395,21,-6.22172,106.731674
SDN Cawang 13 Pg.,Kramat Jati,Jakarta Timur,203,10,-6.250034,106.869354
SDN Cawang 12,Kramat Jati,Jakarta Timur,271,13,-6.250284,106.870537
SDN Cawang 04,Kramat Jati,Jakarta Timur,400,15,-6.250561,106.867989
SDN Cawang 09 Pg.,Kramat Jati,Jakarta Timur,197,10,-6.25402,106.865913
SDN Batu Ampar 06 Pg.,Kramat Jati,Jakarta Timur,421,15,-6.2557,106.863403
SDN Cawang 03 Pg.,Kramat Jati,Jakarta Timur,321,15,-6.256144,106.860977
SDN Cililitan 02 Pg.,Kramat Jati,Jakarta Timur,587,24,-6.26506,106.860527
SDN Cililitan 03 Pg.,Kramat Jati,Jakarta Timur,315,12,-6.265322,106.85482
SDN Batu Ampar 01 Pg.,Kramat Jati,Jakarta Timur,348,17,-6.2668,106.867599
SDN Cililitan 01 Pg.,Kramat Jati,Jakarta Timur,348,14,-6.268515,106.863991
SDN Kramat Jati 13 Pg.,Kramat Jati,Jakarta Timur,235,10,-6.269285,106.868706
SDN Kramat Jati 07 Pg.,Kramat Jati,Jakarta Timur,238,11,-6.269483,106.868729
SDN Batu Ampar 12 Pg.,Kramat Jati,Jakarta Timur,422,14,-6.272235,106.851921
SDN Bale Kambang 01 Pg.,Kramat Jati,Jakarta Timur,372,14,-6.275157,106.852531
SDN Batu Ampar 03 Pg.,Kramat Jati,Jakarta Timur,369,15,-6.278,106.861
SDN Kramat Jati 24 Pg.,Kramat Jati,Jakarta Timur,209,9,-6.278181,106.871216
SDN Batu Ampar 02 Pg.,Kramat Jati,Jakarta Timur,367,14,-6.279088,106.861191
SDN Batu Ampar 13 Pg.,Kramat Jati,Jakarta Timur,367,16,-6.28003,106.857895
SDN Kramat Jati 25 Pg.,Kramat Jati,Jakarta Timur,238,10,-6.281298,106.873474
SDN Batu Ampar 05 Pg.,Kramat Jati,Jakarta Timur,250,11,-6.28403,106.864044
SDN Batu Ampar 11 Pg.,Kramat Jati,Jakarta Timur,411,15,-6.284446,106.858841
SDN Kramat Jati 19 Pg.,Kramat Jati,Jakarta Timur,302,15,-6.2858,106.873001
SDN Kampung Tengah 03 Pg.,Kramat Jati,Jakarta Timur,369,17,-6.285888,106.869232
SDN Batu Ampar 10 Pg.,Kramat Jati,Jakarta Timur,315,13,-6.287543,106.858757
SDN Batu Ampar 09 Pg.,Kramat Jati,Jakarta Timur,240,10,-6.289746,106.857445
SDN Kampung Tengah 08 Pg.,Kramat Jati,Jakarta Timur,220,9,-6.293384,106.862045
SDN Dukuh 05 Pg.,Kramat Jati,Jakarta Timur,394,16,-6.2938,106.886597
SDN Dukuh 09 Pg.,Kramat Jati,Jakarta Timur,338,13,-6.29573,106.87561
SDN Kampung Tengah 07 Pg.,Kramat Jati,Jakarta Timur,615,34,-6.2991,106.868301
SDN Cipinang Melayu 01 Pg.,Makasar,Jakarta Timur,808,32,-6.241513,106.884491
SDN Cipinang Melayu 07 Pg.,Makasar,Jakarta Timur,367,18,-6.245257,106.898315
SDN Cipinang Melayu 08 Pg.,Makasar,Jakarta Timur,424,16,-6.247174,106.90567
SDN Cipinang Melayu 03 Pg.,Makasar,Jakarta Timur,499,25,-6.251451,106.918091
SDN Cipinang Melayu 04 Pg.,Makasar,Jakarta Timur,683,38,-6.25172,106.917252
SDN Cipinang Melayu 09 Pg.,Makasar,Jakarta Timur,492,25,-6.253875,106.914871
SDN Kebon Pala 09 Pg.,Makasar,Jakarta Timur,218,21,-6.25403,106.87571
SDN Kebon Pala 07 Pg.,Makasar,Jakarta Timur,316,16,-6.254203,106.875237
SDN Kebon Pala 14 Pg.,Makasar,Jakarta Timur,212,11,-6.256675,106.881958
SDN Kebon Pala 15 Pg.,Makasar,Jakarta Timur,190,10,-6.256878,106.881905
SDN Kebon Pala 13 Pg.,Makasar,Jakarta Timur,223,16,-6.257476,106.880814
SDN Kebon Pala 12 Pg.,Makasar,Jakarta Timur,283,13,-6.257651,106.881111
SDN Kebon Pala 04 Pg.,Makasar,Jakarta Timur,347,17,-6.260391,106.878365
SDN Kebon Pala 02 Pg.,Makasar,Jakarta Timur,346,13,-6.264039,106.883774
SDN Kebon Pala 01 Pg.,Makasar,Jakarta Timur,417,14,-6.264043,106.88372
SDN Kebon Pala 05,Makasar,Jakarta Timur,572,28,-6.2643,106.883499
SDN Halim 01 Pg.,Makasar,Jakarta Timur,569,32,-6.2672,106.8778
SDN Makasar 09 Pg.,Makasar,Jakarta Timur,396,16,-6.271467,106.875351
SDN Makasar 08 Pg.,Makasar,Jakarta Timur,469,14,-6.271519,106.875328
SDN Makasar 02 Pg.,Makasar,Jakarta Timur,374,15,-6.275088,106.875977
SDN Makasar 01 Pg.,Makasar,Jakarta Timur,356,15,-6.275373,106.875999
SDN Makasar 06 Pg.,Makasar,Jakarta Timur,366,18,-6.278123,106.878746
SDN Pinang Ranti 09 Pg.,Makasar,Jakarta Timur,676,24,-6.27847,106.884285
SDN Makasar 07 Pg.,Makasar,Jakarta Timur,310,14,-6.2794,106.8797
SDN Makasar 05 Pg.,Makasar,Jakarta Timur,353,17,-6.280562,106.879501
SDN Pinang Ranti 08 Pg.,Makasar,Jakarta Timur,294,13,-6.2876,106.880997
SDN Pinang Ranti 05 Pg.,Makasar,Jakarta Timur,391,16,-6.28766,106.881966
SDN Pinang Ranti 07 Pg.,Makasar,Jakarta Timur,286,13,-6.28771,106.880859
SDN Pinang Ranti 04 Pg.,Makasar,Jakarta Timur,340,14,-6.287918,106.881325
SDN Pinang Ranti 01,Makasar,Jakarta Timur,498,21,-6.293159,106.88829
SDN Pinang Ranti 02 Pg.,Makasar,Jakarta Timur,472,23,-6.293889,106.88575
SDN Kuningan Barat 01 Pg.,Mampang Prapatan,Jakarta Selatan,133,9,-6.23872,106.828934
SDN Kuningan Barat 05 Pg.,Mampang Prapatan,Jakarta Selatan,197,9,-6.23872,106.828934
SDN Pela Mampang 01 Pg.,Mampang Prapatan,Jakarta Selatan,417,20,-6.241584,106.815277
SDN Mampang Prapatan 03,Mampang Prapatan,Jakarta Selatan,294,15,-6.242019,106.829437
SDN Pela Mampang 03 Pg.,Mampang Prapatan,Jakarta Selatan,307,19,-6.244224,106.821907
SDN Mampang Prapatan 01 Pg.,Mampang Prapatan,Jakarta Selatan,215,10,-6.2446,106.83506
SDN Tegal Parang 05 Pg.,Mampang Prapatan,Jakarta Selatan,216,13,-6.246326,106.833466
SDN Pela Mampang 08 Pg.,Mampang Prapatan,Jakarta Selatan,244,13,-6.2467,106.814201
SDN Pela Mampang 09,Mampang Prapatan,Jakarta Selatan,272,18,-6.2467,106.814201
SDN Tegal Parang 01 Pg.,Mampang Prapatan,Jakarta Selatan,257,12,-6.248896,106.82991
SDN Pela Mampang 11 Pg.,Mampang Prapatan,Jakarta Selatan,326,10,-6.249021,106.818893
SDN Pela Mampang 13 Pg.,Mampang Prapatan,Jakarta Selatan,274,11,-6.249459,106.815475
SDN Tegal Parang 06 Pg.,Mampang Prapatan,Jakarta Selatan,364,16,-6.251114,106.825043
SDN Pela Mampang 14 Pg.,Mampang Prapatan,Jakarta Selatan,200,9,-6.252469,106.811356
SDN Pela Mampang 07 Pg.,Mampang Prapatan,Jakarta Selatan,244,12,-6.252521,106.82251
SDN Tegal Parang 03 Pg.,Mampang Prapatan,Jakarta Selatan,247,11,-6.253076,106.823982
SDN Bangka 06 Pg.,Mampang Prapatan,Jakarta Selatan,199,10,-6.265088,106.790543
SDN Bangka 05 Pg.,Mampang Prapatan,Jakarta Selatan,179,10,-6.26587,106.820198
SDN Bangka 03 Pg.,Mampang Prapatan,Jakarta Selatan,205,10,-6.26587,106.824791
SDN Bangka 07 Pg.,Mampang Prapatan,Jakarta Selatan,169,9,-6.265916,106.827148
SDN Bangka 01 Pg.,Mampang Prapatan,Jakarta Selatan,292,15,-6.272298,106.819778
SDN Pisangan Baru 05 Pg.,Matraman,Jakarta Timur,229,10,-6.12428,1.06528
SDN Pisangan Baru 01,Matraman,Jakarta Timur,533,25,-6.12513,106.522461
SDN Utan Kayu Utara 11 Pg.,Matraman,Jakarta Timur,206,9,-6.195619,106.86808
SDN Utan Kayu Utara 01 Pg.,Matraman,Jakarta Timur,544,29,-6.196549,106.872673
SDN Utan Kayu Utara 08 Pg.,Matraman,Jakarta Timur,198,10,-6.197778,106.866302
SDN Utan Kayu Selatan 14 Pg.,Matraman,Jakarta Pusat,228,9,-6.198788,106.868958
SDN Utan Kayu Selatan 25 Pg.,Matraman,Jakarta Timur,268,11,-6.199887,106.868858
SDN Utan Kayu Selatan 18 Pg.,Matraman,Jakarta Timur,196,11,-6.200449,106.870468
SDN Utan Kayu Selatan 13 Pg.,Matraman,Jakarta Timur,321,15,-6.2005,106.868698
SDN Kayumanis 04 Pt.,Matraman,Jakarta Timur,163,7,-6.201343,106.861488
SDN Kayumanis 01 Pg.,Matraman,Jakarta Timur,204,7,-6.201361,106.861465
SDN Kayumanis 02 Pt.,Matraman,Jakarta Timur,161,8,-6.201361,106.861465
SDN Kayumanis 03 Pg.,Matraman,Jakarta Timur,207,10,-6.201594,106.861465
SDN Utan Kayu Selatan 17 Pg.,Matraman,Jakarta Barat,297,18,-6.203011,106.8647
SDN Utan Kayu Selatan 05,Matraman,Jakarta Timur,400,20,-6.203397,106.869278
SDN Utan Kayu Selatan 02 Pt.,Matraman,Jakarta Timur,159,10,-6.204499,106.865692
SDN Utan Kayu Selatan 04 Pt.,Matraman,Jakarta Timur,140,8,-6.204574,106.867523
SDN Utan Kayu Selatan 20 Pg.,Matraman,Jakarta Timur,200,8,-6.206,106.862
SDN Palmeriam 03 Pg.,Matraman,Jakarta Timur,265,13,-6.206429,106.860008
SDN Palmeriam 02 Pt.,Matraman,Jakarta Timur,216,9,-6.206492,106.860268
SDN Utan Kayu Selatan 09 Pg.,Matraman,Jakarta Timur,235,9,-6.206536,106.870323
SDN Palmeriam 01 Pg.,Matraman,Jakarta Timur,232,11,-6.206833,106.857803
SDN Utan Kayu Selatan 11 Pg.,Matraman,Jakarta Timur,189,12,-6.207669,106.870987
SDN Kebon Manggis 11 Pg.,Matraman,Jakarta Timur,252,13,-6.208749,106.851692
SDN Pisangan Baru 13 Pg.,Matraman,Jakarta Timur,218,12,-6.209085,106.870468
SDN Pisangan Baru 07 Pg.,Matraman,Jakarta Timur,687,32,-6.210794,106.868813
SDN Pisangan Baru 11 Pg.,Matraman,Jakarta Timur,186,9,-6.212976,106.871101
SDN Pisangan Baru 10 Pt.,Matraman,Jakarta Timur,173,9,-6.213635,106.871155
SDN Gondangdia 05 Pg.,Menteng,Jakarta Pusat,161,10,-6.114293,106.501831
SDN Kebon Sirih 01 Pg.,Menteng,Jakarta Pusat,178,10,-6.182791,106.830284
SDN Kebon Sirih 04 Pg.,Menteng,Jakarta Pusat,237,12,-6.185853,106.825172
SDN Cikini 01 Pg.,Menteng,Jakarta Pusat,199,12,-6.193995,106.842293
SDN Cikini 02,Menteng,Jakarta Pusat,443,19,-6.194128,106.841919
SDN Gondangdia 01 Pg.,Menteng,Jakarta Pusat,334,17,-6.194487,106.828781
SDN Gondangdia 03 Pg.,Menteng,Jakarta Pusat,240,15,-6.195226,106.838341
SDN Pegangsaan 01 Pg.,Menteng,Jakarta Pusat,427,21,-6.19791,106.842247
SDNP Menteng 03 Pg.,Menteng,Jakarta Pusat,355,18,-6.19821,106.837646
SDN Menteng 01 Pg.,Menteng,Jakarta Pusat,398,21,-6.198345,106.829025
SDNP Menteng 02 Pg.,Menteng,Jakarta Pusat,468,26,-6.204155,106.837631
SDN Ancol 01 Pg.,Pademangan,Jakarta Utara,489,19,-6.125629,106.82402
SDN Ancol 03,Pademangan,Jakarta Utara,623,26,-6.125975,106.814819
SDN Pademangan Barat 09 Pg.,Pademangan,Jakarta Utara,267,14,-6.131536,106.832077
SDN Pademangan Timur 09 Pg.,Pademangan,Jakarta Utara,738,24,-6.132032,106.844955
SDN Pademangan Timur 03 Pg.,Pademangan,Jakarta Utara,529,20,-6.13208,106.843277
SDN Pademangan Timur 05 Pg.,Pademangan,Jakarta Utara,418,15,-6.13208,106.843277
SDN Pademangan Timur 06 Pg.,Pademangan,Jakarta Utara,301,14,-6.13208,106.843277
SDN Pademangan Timur 08 Pt.,Pademangan,Jakarta Utara,287,12,-6.132828,106.843864
SDN Pademangan Timur 07 Pt.,Pademangan,Jakarta Utara,373,9,-6.132854,106.844048
SDN Pademangan Barat 10 Pt.,Pademangan,Jakarta Utara,282,13,-6.13504,106.839172
SDN Pademangan Barat 01 Pg.,Pademangan,Jakarta Utara,539,23,-6.135637,106.833679
SDN Pademangan Barat 11 Pg.,Pademangan,Jakarta Utara,612,28,-6.135879,106.839882
SDN Pademangan Barat 07 Pg.,Pademangan,Jakarta Utara,532,23,-6.136181,106.833359
SDN Pademangan Barat 05 Pg.,Pademangan,Jakarta Utara,193,11,-6.137169,106.837212
SDN Pademangan Timur 01 Pg.,Pademangan,Jakarta Utara,510,20,-6.137259,106.84346
SDN Pademangan Barat 12 Pg.,Pademangan,Jakarta Utara,292,15,-6.138873,106.83551
SDN Pademangan Barat 03 Pg.,Pademangan,Jakarta Utara,300,15,-6.138974,106.83551
SDN Pademangan Barat 13 Pt.,Pademangan,Jakarta Utara,297,14,-6.139006,106.835365
SDN Pademangan Barat 04 Pt.,Pademangan,Jakarta Utara,230,14,-6.139089,106.835167
SDN Jati Pulo 05 Pg.,Palmerah,Jakarta Barat,255,10,-6.176789,106.803856
SDN Jati Pulo 06 Pg.,Palmerah,Jakarta Barat,315,7,-6.176789,106.803856
SDN Jati Pulo 07 Pg.,Palmerah,Jakarta Barat,371,14,-6.179298,106.798996
SDN Jati Pulo 03 Pg.,Palmerah,Jakarta Barat,337,12,-6.17978,106.808342
SDN Jati Pulo 04 Pt.,Palmerah,Jakarta Barat,187,7,-6.17978,106.808342
SDN Jati Pulo 08 Pg.,Palmerah,Jakarta Barat,282,15,-6.180395,106.798859
SDN Kota Bambu 02 Pt.,Palmerah,Jakarta Barat,355,12,-6.18323,106.809448
SDN Kota Bambu 01 Pg.,Palmerah,Jakarta Barat,415,18,-6.183332,106.809235
SDN Kota Bambu 07 Pg.,Palmerah,Jakarta Barat,290,8,-6.187249,106.810234
SDN Kemanggisan 14,Palmerah,Jakarta Barat,325,17,-6.1882,106.794098
SDN Kota Bambu 03 Pg.,Palmerah,Jakarta Barat,718,27,-6.188209,106.808159
SDN Kota Bambu 04,Palmerah,Jakarta Barat,362,13,-6.188209,106.808159
SDN Kemanggisan 18 Pt.,Palmerah,Jakarta Barat,79,8,-6.191889,106.784042
SDN Kemanggisan 17 Pg.,Palmerah,Jakarta Barat,448,18,-6.19189,106.784065
SDN Slipi 11 Pg.,Palmerah,Jakarta Barat,337,18,-6.191948,106.800385
SDN Kemanggisan 01 Pg.,Palmerah,Jakarta Barat,321,17,-6.193239,106.7948
SDN Kemanggisan 06 Pg.,Palmerah,Jakarta Barat,351,13,-6.19324,106.7948
SDN Kemanggisan 03 Pg.,Palmerah,Jakarta Barat,310,15,-6.193279,106.794815
SDN Kemanggisan 05 Pg.,Palmerah,Jakarta Barat,249,16,-6.193282,106.794823
SDN Kemanggisan 12,Palmerah,Jakarta Barat,250,17,-6.193733,106.791283
SDN Kemanggisan 10 Pg.,Palmerah,Jakarta Barat,273,12,-6.193734,106.79142
SDN Slipi 15 Pg.,Palmerah,Jakarta Barat,218,14,-6.19433,106.800865
SDN Slipi 18 Pg.,Palmerah,Jakarta Barat,172,11,-6.19433,106.800865
SDN Palmerah 15 Pg.,Palmerah,Jakarta Barat,364,18,-6.195689,106.789207
SDN Palmerah 17 Pg.,Palmerah,Jakarta Barat,368,19,-6.195689,106.789207
SDN Slipi 01,Palmerah,Jakarta Barat,634,25,-6.195798,106.804588
SDN Slipi 07 Pg.,Palmerah,Jakarta Barat,643,28,-6.1958,106.803543
SDN Kemanggisan 08 Pg.,Palmerah,Jakarta Barat,216,11,-6.196064,106.794426
SDN Palmerah 25 Pg.,Palmerah,Jakarta Barat,385,15,-6.201259,106.791229
SDN Palmerah 23 Pg.,Palmerah,Jakarta Barat,331,16,-6.202509,106.786987
SDN Palmerah 21 Pg.,Palmerah,Jakarta Barat,282,11,-6.203432,106.784622
SDN Palmerah 22 Pg.,Palmerah,Jakarta Barat,322,11,-6.203432,106.784622
SDN Palmerah 20 Pg.,Palmerah,Jakarta Barat,236,14,-6.20355,106.785004
SDN Palmerah 19 Pg.,Palmerah,Jakarta Barat,312,15,-6.203663,106.78421
SDN Palmerah 07 Pg.,Palmerah,Jakarta Barat,287,12,-6.20513,106.796097
SDN Palmerah 01 Pg.,Palmerah,Jakarta Barat,213,11,-6.205159,106.796051
SDN Palmerah 03 Pg.,Palmerah,Jakarta Barat,226,14,-6.205159,106.796051
SDN Palmerah 05 Pg.,Palmerah,Jakarta Barat,156,14,-6.205159,106.796051
SDN Palmerah 13 Pg.,Palmerah,Jakarta Barat,474,20,-6.205939,106.791
SDN Palmerah 09 Pg.,Palmerah,Jakarta Barat,415,17,-6.207812,106.788246
SDN Jati Pulo 01 Pg.,Palmerah,Jakarta Barat,375,18,-6.234892,106.814201
SDN Cikoko 01 Pg.,Pancoran,Jakarta Selatan,291,13,-6.245628,106.858185
